type	all_kegg_gene_names	gene_definition	refseq_id	ensembl_id	kegg_paths_id	kegg_paths_name
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04724	Glutamatergic synapse
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04725	Cholinergic synapse
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04726	Serotonergic synapse
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04727	GABAergic synapse
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04728	Dopaminergic synapse
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04740	Olfactory transduction
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04744	Phototransduction
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04926	Relaxin signaling pathway
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa05032	Morphine addiction
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa05034	Alcoholism
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa05163	Human cytomegalovirus infection
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa05167	Kaposi sarcoma-associated herpesvirus infection
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa05170	Human immunodeficiency virus 1 infection
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa05200	Pathways in cancer
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04014	Ras signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04015	Rap1 signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04020	Calcium signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04022	cGMP-PKG signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04024	cAMP signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04070	Phosphatidylinositol signaling system
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04114	Oocyte meiosis
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04218	Cellular senescence
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04261	Adrenergic signaling in cardiomyocytes
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04270	Vascular smooth muscle contraction
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04371	Apelin signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04625	C-type lectin receptor signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04713	Circadian entrainment
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04720	Long-term potentiation
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04722	Neurotrophin signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04728	Dopaminergic synapse
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04740	Olfactory transduction
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04744	Phototransduction
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04750	Inflammatory mediator regulation of TRP channels
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04910	Insulin signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04912	GnRH signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04915	Estrogen signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04916	Melanogenesis
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04921	Oxytocin signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04922	Glucagon signaling pathway
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04924	Renin secretion
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04925	Aldosterone synthesis and secretion
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04970	Salivary secretion
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa04971	Gastric acid secretion
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05010	Alzheimer disease
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05012	Parkinson disease
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05022	Pathways of neurodegeneration - multiple diseases
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05031	Amphetamine addiction
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05034	Alcoholism
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05133	Pertussis
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05152	Tuberculosis
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05163	Human cytomegalovirus infection
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05167	Kaposi sarcoma-associated herpesvirus infection
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05170	Human immunodeficiency virus 1 infection
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05200	Pathways in cancer
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05214	Glioma
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05417	Lipid and atherosclerosis
CDS	(RefSeq) calmodulin like 6		163688	ENSG00000169885	hsa05418	Fluid shear stress and atherosclerosis
CDS	(RefSeq) gamma-aminobutyric acid type A receptor subunit delta		2563	ENSG00000187730	hsa04080	Neuroactive ligand-receptor interaction
CDS	(RefSeq) gamma-aminobutyric acid type A receptor subunit delta		2563	ENSG00000187730	hsa04723	Retrograde endocannabinoid signaling
CDS	(RefSeq) gamma-aminobutyric acid type A receptor subunit delta		2563	ENSG00000187730	hsa04727	GABAergic synapse
CDS	(RefSeq) gamma-aminobutyric acid type A receptor subunit delta		2563	ENSG00000187730	hsa05032	Morphine addiction
CDS	(RefSeq) gamma-aminobutyric acid type A receptor subunit delta		2563	ENSG00000187730	hsa05033	Nicotine addiction
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04015	Rap1 signaling pathway
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04062	Chemokine signaling pathway
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04071	Sphingolipid signaling pathway
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04144	Endocytosis
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04360	Axon guidance
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04390	Hippo signaling pathway
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04530	Tight junction
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04611	Platelet activation
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04910	Insulin signaling pathway
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04926	Relaxin signaling pathway
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04930	Type II diabetes mellitus
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04931	Insulin resistance
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa04933	AGE-RAGE signaling pathway in diabetic complications
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa05165	Human papillomavirus infection
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa05415	Diabetic cardiomyopathy
CDS	(RefSeq) protein kinase C zeta		5590	ENSG00000067606	hsa05418	Fluid shear stress and atherosclerosis
CDS	(RefSeq) SKI proto-oncogene		6497	ENSG00000157933	hsa04350	TGF-beta signaling pathway
CDS	(RefSeq) peroxisomal biogenesis factor 10		5192	ENSG00000157911	hsa04146	Peroxisome
CDS	(RefSeq) phospholipase C eta 2		9651	ENSG00000149527	hsa00562	Inositol phosphate metabolism
CDS	(RefSeq) phospholipase C eta 2		9651	ENSG00000149527	hsa01100	Metabolic pathways
CDS	(RefSeq) hes family bHLH transcription factor 5		388585	ENSG00000197921	hsa04330	Notch signaling pathway
CDS	(RefSeq) hes family bHLH transcription factor 5		388585	ENSG00000197921	hsa05165	Human papillomavirus infection
CDS	(RefSeq) hes family bHLH transcription factor 5		388585	ENSG00000197921	hsa05200	Pathways in cancer
CDS	(RefSeq) hes family bHLH transcription factor 5		388585	ENSG00000197921	hsa05224	Breast cancer
CDS	(RefSeq) TNF receptor superfamily member 14		8764	ENSG00000157873	hsa03266	Virion - Herpesvirus
CDS	(RefSeq) TNF receptor superfamily member 14		8764	ENSG00000157873	hsa04060	Cytokine-cytokine receptor interaction
CDS	(RefSeq) TNF receptor superfamily member 14		8764	ENSG00000157873	hsa04061	Viral protein interaction with cytokine and cytokine receptor
CDS	(RefSeq) TNF receptor superfamily member 14		8764	ENSG00000157873	hsa05168	Herpes simplex virus 1 infection
CDS	(RefSeq) peroxiredoxin like 2B		127281	ENSG00000157870	hsa00590	Arachidonic acid metabolism
CDS	(RefSeq) peroxiredoxin like 2B		127281	ENSG00000157870	hsa01100	Metabolic pathways
CDS	(RefSeq) PR/SET domain 16		63976	ENSG00000142611	hsa00310	Lysine degradation
CDS	(RefSeq) PR/SET domain 16		63976	ENSG00000142611	hsa01100	Metabolic pathways
CDS	(RefSeq) PR/SET domain 16		63976	ENSG00000142611	hsa04714	Thermogenesis
CDS	(RefSeq) tumor protein p73		7161	ENSG00000078900	hsa04115	p53 signaling pathway
CDS	(RefSeq) tumor protein p73		7161	ENSG00000078900	hsa04390	Hippo signaling pathway
CDS	(RefSeq) tumor protein p73		7161	ENSG00000078900	hsa04722	Neurotrophin signaling pathway
CDS	(RefSeq) tumor protein p73		7161	ENSG00000078900	hsa05162	Measles
CDS	(RefSeq) DNA fragmentation factor subunit beta		1677	ENSG00000169598	hsa04210	Apoptosis
CDS	(RefSeq) ribosomal protein L22		6146	ENSG00000116251	hsa03010	Ribosome
CDS	(RefSeq) ribosomal protein L22		6146	ENSG00000116251	hsa05171	Coronavirus disease - COVID-19
CDS	(RefSeq) isoprenylcysteine carboxyl methyltransferase		23463	ENSG00000116237	hsa00900	Terpenoid backbone biosynthesis
CDS	(RefSeq) hes family bHLH transcription factor 3		390992	ENSG00000173673	hsa05165	Human papillomavirus infection
CDS	(RefSeq) acyl-CoA thioesterase 7		11332	ENSG00000097021	hsa00062	Fatty acid elongation
CDS	(RefSeq) acyl-CoA thioesterase 7		11332	ENSG00000097021	hsa01040	Biosynthesis of unsaturated fatty acids
CDS	(RefSeq) hes family bHLH transcription factor 2		54626	ENSG00000069812	hsa05165	Human papillomavirus infection
CDS	(RefSeq) TNF receptor superfamily member 25		8718	ENSG00000215788	hsa04060	Cytokine-cytokine receptor interaction
CDS	(RefSeq) pleckstrin homology and RhoGEF domain containing G5		57449	ENSG00000171680	hsa05200	Pathways in cancer
CDS	(RefSeq) taste 1 receptor member 1		80835	ENSG00000173662	hsa04742	Taste transduction
CDS	(RefSeq) vesicle associated membrane protein 3		9341	ENSG00000049245	hsa04130	SNARE interactions in vesicular transport
CDS	(RefSeq) vesicle associated membrane protein 3		9341	ENSG00000049245	hsa04145	Phagosome
CDS	(RefSeq) period circadian regulator 3		8863	ENSG00000049246	hsa04710	Circadian rhythm
CDS	(RefSeq) period circadian regulator 3		8863	ENSG00000049246	hsa04713	Circadian entrainment
CDS	(RefSeq) urotensin 2		10911	ENSG00000049247	hsa04080	Neuroactive ligand-receptor interaction
CDS	(RefSeq) TNF receptor superfamily member 9		3604	ENSG00000049249	hsa04060	Cytokine-cytokine receptor interaction
CDS	(RefSeq) Parkinsonism associated deglycase		11315	ENSG00000116288	hsa05012	Parkinson disease
CDS	(RefSeq) Parkinsonism associated deglycase		11315	ENSG00000116288	hsa05022	Pathways of neurodegeneration - multiple diseases
CDS	(RefSeq) enolase 1		2023	ENSG00000074800	hsa00010	Glycolysis / Gluconeogenesis
CDS	(RefSeq) enolase 1		2023	ENSG00000074800	hsa01100	Metabolic pathways
CDS	(RefSeq) enolase 1		2023	ENSG00000074800	hsa01200	Carbon metabolism
CDS	(RefSeq) enolase 1		2023	ENSG00000074800	hsa01230	Biosynthesis of amino acids
CDS	(RefSeq) enolase 1		2023	ENSG00000074800	hsa03018	RNA degradation
CDS	(RefSeq) enolase 1		2023	ENSG00000074800	hsa04066	HIF-1 signaling pathway
CDS	(RefSeq) carbonic anhydrase 6		765	ENSG00000131686	hsa00910	Nitrogen metabolism
CDS	(RefSeq) carbonic anhydrase 6		765	ENSG00000131686	hsa01100	Metabolic pathways
CDS	(RefSeq) solute carrier family 2 member 5		6518	ENSG00000142583	hsa04973	Carbohydrate digestion and absorption
miRNA	(RefSeq) microRNA 34a		407040	ENSG00000284357	hsa05206	MicroRNAs in cancer
CDS	(RefSeq) hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase		9563	ENSG00000049239	hsa00030	Pentose phosphate pathway
CDS	(RefSeq) hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase		9563	ENSG00000049239	hsa01100	Metabolic pathways
CDS	(RefSeq) hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase		9563	ENSG00000049239	hsa01200	Carbon metabolism
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa00562	Inositol phosphate metabolism
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa01100	Metabolic pathways
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa01521	EGFR tyrosine kinase inhibitor resistance
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa01522	Endocrine resistance
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa01524	Platinum drug resistance
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04012	ErbB signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04014	Ras signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04015	Rap1 signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04024	cAMP signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04062	Chemokine signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04066	HIF-1 signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04068	FoxO signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04070	Phosphatidylinositol signaling system
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04071	Sphingolipid signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04072	Phospholipase D signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04140	Autophagy - animal
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04150	mTOR signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04151	PI3K-Akt signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04152	AMPK signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04210	Apoptosis
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04211	Longevity regulating pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04213	Longevity regulating pathway - multiple species
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04218	Cellular senescence
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04360	Axon guidance
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04370	VEGF signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04380	Osteoclast differentiation
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04510	Focal adhesion
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04550	Signaling pathways regulating pluripotency of stem cells
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04611	Platelet activation
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04613	Neutrophil extracellular trap formation
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04620	Toll-like receptor signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04625	C-type lectin receptor signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04630	JAK-STAT signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04650	Natural killer cell mediated cytotoxicity
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04660	T cell receptor signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04662	B cell receptor signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04664	Fc epsilon RI signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04666	Fc gamma R-mediated phagocytosis
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04668	TNF signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04670	Leukocyte transendothelial migration
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04722	Neurotrophin signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04725	Cholinergic synapse
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04750	Inflammatory mediator regulation of TRP channels
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04810	Regulation of actin cytoskeleton
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04910	Insulin signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04914	Progesterone-mediated oocyte maturation
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04915	Estrogen signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04917	Prolactin signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04919	Thyroid hormone signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04923	Regulation of lipolysis in adipocytes
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04926	Relaxin signaling pathway
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04929	GnRH secretion
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04930	Type II diabetes mellitus
CDS	(RefSeq) phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta		5293	ENSG00000171608	hsa04931	Insulin resistance
